Name,Student_ID,Password,Department,Sem1_Maths,Sem1_Physics,Sem1_Chemistry,Sem1_Programming,Sem1_English,Sem1_Avg,Sem2_Discrete_Math,Sem2_Electronics,Sem2_Data_Structures,Sem2_Communication,Sem2_Environmental_Sci,Sem2_Avg,Sem3_OOP,Sem3_DBMS,Sem3_DSA,Sem3_Digital_Logic,Sem3_Operating_System,Sem3_Avg,Sem4_Microprocessor,Sem4_Software_Engg,Sem4_Computer_Networks,Sem4_Theory_of_Comp,Sem4_Statistics,Sem4_Avg,Sem5_AI,Sem5_Machine_Learning,Sem5_Computer_Graphics,Sem5_Embedded_Systems,Sem5_Control_Systems,Sem5_Avg,Sem6_Deep_Learning,Sem6_Data_Mining,Sem6_Cloud_Computing,Sem6_IOT,Sem6_Compiler_Design,Sem6_Avg,Sem7_Big_Data,Sem7_Cyber_Security,Sem7_Project,Sem7_Research_Methods,Sem7_Internship,Sem7_Avg,GPA,Average_Attendance,Assignments_Submitted,LMS_Activity,Participation,Interest_in_Sports,Culture_Engagement,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average_Attendance
Student_080,STU080,PW0080,ECE,66,91,67,40,51,63,91,90,99,69,78,85.4,69,57,43,66,88,64.6,93,85,81,51,69,75.8,83,97,68,90,67,81,63,76,79,70,52,68,86,89,95,76,62,81.6,74.2,71,32,86,99,Medium,Active,84,78,96,97,92,96,79,68,96,80,93,96,68.75
Student_081,STU081,PW0081,CIVIL,69,73,51,62,41,59.2,82,83,92,73,94,84.8,64,74,56,66,98,71.6,56,86,81,69,46,67.6,59,46,45,95,81,65.2,97,49,94,59,71,74,97,47,81,96,70,78.2,71.51,83,46,88,83,Medium,Low,75,92,68,61,99,91,83,79,64,68,79,69,80
Student_082,STU082,PW0082,MECH,52,94,46,71,80,68.6,71,50,78,91,50,68,81,42,51,54,73,60.2,62,40,68,46,59,55,62,45,42,50,55,50.8,77,51,59,78,96,72.2,87,51,85,88,42,70.6,63.63,84,36,69,53,Medium,Low,62,65,78,85,74,84,74,92,95,68,98,65,72.91666667
Student_083,STU083,PW0083,ECE,59,80,63,96,75,74.6,62,69,95,89,76,78.2,87,56,76,51,80,70,42,72,62,90,78,68.8,84,50,40,86,94,70.8,48,56,66,49,44,52.6,48,67,57,63,59,58.8,67.69,84,26,69,56,Medium,Low,92,90,79,64,78,87,69,83,99,69,98,67,78.33333333
Student_084,STU084,PW0084,EEE,82,75,69,95,98,83.8,65,59,55,70,80,65.8,40,62,88,77,69,67.2,40,79,90,59,80,69.6,60,58,44,93,50,61,70,58,90,55,73,69.2,78,97,91,63,94,84.6,71.6,77,49,73,54,High,Low,79,82,73,94,70,83,91,93,93,95,86,76,70.83333333
Student_085,STU085,PW0085,CIVIL,56,90,64,59,42,62.2,58,56,84,50,70,63.6,98,82,52,85,65,76.4,52,57,84,66,76,67,87,41,90,87,93,79.6,79,94,71,40,55,67.8,57,58,80,96,98,77.8,70.63,84,20,78,88,Medium,Active,61,60,84,95,62,77,92,93,62,63,79,63,72.08333333
Student_086,STU086,PW0086,MECH,57,98,62,40,85,68.4,95,80,47,95,80,79.4,81,51,45,71,69,63.4,60,66,55,40,67,57.6,40,49,67,65,90,62.2,60,59,73,53,67,62.4,63,42,40,95,86,65.2,65.51,93,48,63,65,Medium,Moderate,72,87,97,83,92,92,96,60,63,95,95,64,71.75
Student_087,STU087,PW0087,MECH,57,94,66,60,42,63.8,64,90,43,52,48,59.4,62,46,89,92,71,72,65,54,58,64,58,59.8,68,53,50,93,65,65.8,43,71,96,95,51,71.2,51,56,84,68,97,71.2,66.17,96,41,89,98,High,Moderate,69,95,93,64,86,74,97,63,82,87,65,70,73.91666667
Student_088,STU088,PW0088,CSE,53,95,69,94,76,77.4,71,61,46,46,92,63.2,73,53,41,50,89,61.2,60,72,95,77,89,78.6,49,44,87,98,99,75.4,43,58,50,82,40,54.6,78,61,94,92,40,73,69.06,83,45,87,58,Medium,Moderate,63,76,84,90,92,79,68,79,78,70,98,91,73.25
Student_089,STU089,PW0089,CIVIL,42,77,96,42,66,64.6,41,53,97,92,67,70,61,84,76,40,75,67.2,56,74,86,51,97,72.8,82,64,95,49,72,72.4,58,58,44,58,95,62.6,48,41,56,63,62,54,66.23,79,47,64,85,Low,Low,78,97,96,85,73,91,93,99,76,73,72,85,71.5
Student_090,STU090,PW0090,EEE,82,96,47,47,79,70.2,56,40,59,85,49,57.8,50,42,83,42,84,60.2,79,40,63,96,89,73.4,92,45,93,76,71,75.4,57,65,65,79,97,72.6,77,83,51,47,66,64.8,67.77,97,26,92,88,High,Moderate,63,67,63,81,92,71,60,95,97,91,64,78,72.83333333
Student_091,STU091,PW0091,CIVIL,49,49,94,68,61,64.2,42,65,81,60,86,66.8,69,60,98,67,73,73.4,44,99,81,71,55,70,63,92,53,62,88,71.6,57,43,65,98,65,65.6,57,68,92,58,55,66,68.23,95,41,60,62,Low,Active,90,82,70,74,89,82,74,75,87,62,65,91,73.91666667
Student_092,STU092,PW0092,MECH,96,82,62,48,47,67,82,51,68,70,84,71,41,92,73,87,97,78,63,79,56,90,92,76,49,66,94,68,56,66.6,53,60,78,83,80,70.8,75,75,48,72,49,63.8,70.46,94,32,96,97,Low,Moderate,93,65,89,61,69,87,90,67,90,62,75,85,74.5
Student_093,STU093,PW0093,ECE,49,97,62,80,61,69.8,91,68,78,59,73,73.8,48,63,77,77,42,61.4,48,91,65,76,79,71.8,51,76,57,40,89,62.6,64,64,73,70,71,68.4,63,63,73,79,57,67,67.83,97,41,79,97,Medium,Moderate,99,86,85,88,91,61,67,80,86,85,99,92,80.58333333
Student_094,STU094,PW0094,MECH,52,43,80,45,92,62.4,86,62,54,99,92,78.6,47,72,44,66,67,59.2,91,61,96,95,90,86.6,43,94,73,59,71,68,43,82,86,94,95,80,50,83,85,46,48,62.4,71.03,96,29,88,70,Low,Moderate,86,77,92,99,81,62,60,87,94,63,60,92,66.58333333
Student_095,STU095,PW0095,CIVIL,54,74,60,54,75,63.4,91,44,77,53,80,69,66,55,49,72,48,58,44,90,87,66,94,76.2,47,63,40,87,42,55.8,84,91,52,45,85,71.4,40,64,79,65,98,69.2,66.14,71,40,93,86,Low,Low,79,62,74,60,93,94,98,95,64,60,90,84,77.75
Student_096,STU096,PW0096,ECE,55,77,78,70,51,66.2,95,45,85,76,55,71.2,47,58,42,82,40,53.8,67,94,97,66,58,76.4,63,49,96,62,51,64.2,96,59,84,58,54,70.2,52,68,51,66,91,65.6,66.8,72,20,78,97,Low,Low,69,77,69,62,80,95,62,98,97,82,63,80,76.25
Student_097,STU097,PW0097,EEE,75,64,80,59,59,67.4,83,66,69,51,55,64.8,89,96,98,77,79,87.8,64,53,80,96,52,69,92,84,92,55,99,84.4,61,63,78,92,54,69.6,84,44,80,62,62,66.4,72.77,93,27,79,57,Medium,Active,89,62,77,98,96,85,94,95,62,69,70,98,72.91666667
Student_098,STU098,PW0098,CSE,43,42,57,40,59,48.2,57,86,50,86,62,68.2,84,97,83,83,64,82.2,87,74,58,96,72,77.4,40,80,85,54,72,66.2,42,83,52,84,42,60.6,82,83,45,65,83,71.6,67.77,79,36,77,78,Medium,Moderate,67,79,98,92,80,81,80,95,87,89,69,98,71.75
Student_099,STU099,PW0099,EEE,88,62,47,93,47,67.4,79,40,52,71,78,64,84,79,82,56,41,68.4,45,50,90,48,83,63.2,42,56,72,75,44,57.8,58,92,63,94,40,69.4,60,59,92,71,52,66.8,65.29,76,26,90,89,Medium,Low,83,89,71,87,66,76,88,74,76,99,64,90,74.91666667
Student_100,STU100,PW0100,CIVIL,97,75,43,80,50,69,44,55,94,84,55,66.4,66,54,57,77,71,65,40,60,73,44,90,61.4,94,50,62,77,79,72.4,58,66,85,77,54,68,61,74,77,87,83,76.4,68.37,84,34,85,84,High,Moderate,65,99,79,82,75,81,76,83,86,95,74,74,68.58333333
